<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ТГК-14;W;11/01/10;000000;0,0035;5205210000
ТГК-14;W;18/01/10;000000;0,0035;4755156000
ТГК-14;W;25/01/10;000000;0,0036;4459242000
ТГК-14;W;01/02/10;000000;0,0038;12036013000
ТГК-14;W;08/02/10;000000;0,0037;6017676000
ТГК-14;W;15/02/10;000000;0,0038;4900884000
ТГК-14;W;22/02/10;000000;0,0038;2144203000
ТГК-14;W;01/03/10;000000;0,0042;8218545000
ТГК-14;W;08/03/10;000000;0,0048;22589532000
ТГК-14;W;15/03/10;000000;0,005;13819534000
ТГК-14;W;22/03/10;000000;0,005;2308221000
ТГК-14;W;29/03/10;000000;0,0054;9510945000
ТГК-14;W;05/04/10;000000;0,0055;20495596000
ТГК-14;W;12/04/10;000000;0,0049;10650297000
ТГК-14;W;19/04/10;000000;0,0054;11556545000
ТГК-14;W;26/04/10;000000;0,0052;4546348000
ТГК-14;W;03/05/10;000000;0,0043;4747225000
ТГК-14;W;10/05/10;000000;0,0046;4043252000
ТГК-14;W;17/05/10;000000;0,0041;4927914000
ТГК-14;W;24/05/10;000000;0,0044;4223099000
ТГК-14;W;31/05/10;000000;0,0044;3495286000
ТГК-14;W;07/06/10;000000;0,0044;2763456000
ТГК-14;W;14/06/10;000000;0,0044;2103823000
ТГК-14;W;21/06/10;000000;0,0041;7272815000
ТГК-14;W;28/06/10;000000;0,0037;4108427000
ТГК-14;W;05/07/10;000000;0,0038;2453982000
ТГК-14;W;12/07/10;000000;0,0037;3038150000
ТГК-14;W;19/07/10;000000;0,0037;1943534000
ТГК-14;W;26/07/10;000000;0,0038;3478507000
ТГК-14;W;02/08/10;000000;0,0042;9368186000
ТГК-14;W;09/08/10;000000;0,0042;2962876000
ТГК-14;W;16/08/10;000000;0,0041;1706845000
ТГК-14;W;23/08/10;000000;0,004;2021967000
ТГК-14;W;30/08/10;000000;0,0043;4583510000
ТГК-14;W;06/09/10;000000;0,0045;5190510000
ТГК-14;W;13/09/10;000000;0,0044;3487505000
ТГК-14;W;20/09/10;000000;0,0044;1593473000
ТГК-14;W;27/09/10;000000;0,0044;2387293000
ТГК-14;W;04/10/10;000000;0,0043;2468442000
ТГК-14;W;11/10/10;000000;0,0043;2010705000
ТГК-14;W;18/10/10;000000;0,0043;1732959000
ТГК-14;W;25/10/10;000000;0,0043;2033584000
ТГК-14;W;01/11/10;000000;0,0043;545451000
ТГК-14;W;08/11/10;000000;0,0041;1766089000
ТГК-14;W;15/11/10;000000;0,0042;24136699000
ТГК-14;W;22/11/10;000000;0,0041;2582949000
ТГК-14;W;29/11/10;000000;0,0045;20797981000
ТГК-14;W;06/12/10;000000;0,0043;4432762000
ТГК-14;W;13/12/10;000000;0,0042;7432420000
ТГК-14;W;20/12/10;000000;0,0042;6070508000
ТГК-14;W;27/12/10;000000;0,0042;1307387000
ТГК-14;W;10/01/11;000000;0,0042;3418298000
ТГК-14;W;17/01/11;000000;0,0042;3711742000
ТГК-14;W;24/01/11;000000;0,0041;3248572000
ТГК-14;W;31/01/11;000000;0,0039;5525947000
ТГК-14;W;07/02/11;000000;0,0038;8633910000
