;accommodates;bathrooms;bedrooms;price;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;host_has_profile_pic;room_type;bed_type;minimum_nights;instant_bookable;is_business_travel_ready;cancellation_policy;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed
2015;3;1.0;1.0;60.0;30.0;200.0;28.0;1;3.533182003748955;75.0;t;Entire home/apt;Real Bed;4;f;f;strict_14_with_grace_period;True;True;True;False;False
2695;2;1.0;1.0;17.0;0.0;0.0;0.0;1;5.085573389150531;25.0;t;Private room;Real Bed;2;f;f;flexible;True;False;False;False;False
3176;4;1.0;1.0;90.0;50.0;200.0;20.0;2;3.695676836683942;68.0;t;Entire home/apt;Real Bed;62;t;f;strict_14_with_grace_period;True;False;True;False;False
3309;2;1.0;1.0;26.0;30.0;250.0;18.0;1;3.755284599045375;26.0;t;Private room;Pull-out Sofa;5;f;f;strict_14_with_grace_period;True;False;False;True;False
7071;2;1.0;1.0;42.0;0.0;0.0;24.0;1;4.55042339408403;20.0;t;Private room;Real Bed;2;f;f;moderate;True;False;True;False;False
14325;2;1.0;0.0;70.0;0.0;500.0;0.0;1;5.012296930979851;64.73222792401458;t;Entire home/apt;Real Bed;90;f;f;strict_14_with_grace_period;False;True;False;True;False
16401;2;1.0;1.0;120.0;0.0;0.0;13.0;1;3.733804517566366;55.0;t;Private room;Real Bed;30;f;f;strict_14_with_grace_period;False;True;False;False;True
16644;5;1.0;1.0;90.0;50.0;500.0;20.0;2;2.105809613687102;80.0;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;True;True;True;False;False
17409;2;1.0;1.0;45.0;18.0;0.0;26.0;1;2.982036376054309;25.0;t;Private room;Real Bed;3;f;f;strict_14_with_grace_period;True;True;False;True;False
20858;4;1.0;2.0;129.0;49.0;500.0;24.0;2;3.807207073757503;105.81858256563278;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;False;True;True;False;False
21869;4;1.0;1.0;70.0;40.0;500.0;18.0;2;2.0612921417330554;75.53079396442881;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;True;True;True;False;False
22415;4;1.0;2.0;98.0;50.0;300.0;25.0;2;1.8682545996481508;100.08986547115836;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;True;True;True;True;False
22677;5;1.0;1.0;160.0;40.0;150.0;35.0;4;3.5117873058188973;70.0;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;True;True;True;False;False
23834;4;1.0;1.0;65.0;50.0;500.0;0.0;1;2.2006223577305066;50.0;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;True;True;True;True;False
24569;4;2.5;2.0;90.0;35.0;200.0;5.0;2;3.2541641361124305;150.0;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;False;True;False;False;True
25653;4;2.5;2.0;90.0;55.0;200.0;5.0;2;3.2263661968290354;150.0;t;Entire home/apt;Real Bed;4;f;f;strict_14_with_grace_period;False;True;True;False;False
26543;8;2.0;2.0;197.0;50.0;250.0;40.0;4;4.735999090233916;84.0;t;Entire home/apt;Real Bed;3;t;f;strict_14_with_grace_period;True;True;True;True;False
28156;2;1.0;0.0;70.0;0.0;1660.0;0.0;1;4.886509346649798;66.10072701255608;t;Entire home/apt;Real Bed;90;f;f;strict_14_with_grace_period;False;True;False;True;False
28268;6;1.0;2.0;90.0;50.0;200.0;20.0;4;4.605567039081213;75.0;t;Entire home/apt;Real Bed;5;f;f;strict_14_with_grace_period;False;True;True;False;False
29279;4;1.0;2.0;130.0;80.0;1500.0;0.0;2;4.538184157417699;25.0;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;False;True;True;True;False
30295;8;1.0;2.0;100.0;40.0;0.0;20.0;4;4.95765838553823;100.0;t;Entire home/apt;Real Bed;4;t;f;strict_14_with_grace_period;True;True;True;False;False
31440;1;1.0;1.0;44.0;15.0;100.0;15.0;1;4.650042563809672;52.06234732265105;t;Private room;Real Bed;1;f;f;moderate;False;True;False;False;False
33043;4;1.0;1.0;62.0;20.0;0.0;8.0;2;3.8011482238478487;47.0;t;Entire home/apt;Real Bed;3;t;f;strict_14_with_grace_period;True;False;True;False;False
35642;2;1.0;1.0;55.0;50.0;1000.0;10.0;1;5.266471378414513;75.0;t;Entire home/apt;Real Bed;60;t;f;strict_14_with_grace_period;False;True;False;False;False
36480;1;0.0;1.0;40.0;5.0;500.0;20.0;1;7.15902153515577;10.0;t;Private room;Real Bed;1;f;f;flexible;True;False;False;True;False
