;accommodates;bathrooms;bedrooms;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;minimum_nights;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed;host_has_profile_pic_f;host_has_profile_pic_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;bed_type_Airbed;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;instant_bookable_f;instant_bookable_t;is_business_travel_ready_f;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60
2015;3;1.0;1.0;30.0;200.0;28.0;1;3.533182003748955;75.0;4;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
2695;2;1.0;1.0;0.0;0.0;0.0;1;5.085573389150531;25.0;2;True;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
3176;4;1.0;1.0;50.0;200.0;20.0;2;3.695676836683942;68.0;62;True;False;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
3309;2;1.0;1.0;30.0;250.0;18.0;1;3.755284599045375;26.0;5;True;False;False;True;False;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0
7071;2;1.0;1.0;0.0;0.0;24.0;1;4.55042339408403;20.0;2;True;False;True;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
14325;2;1.0;0.0;0.0;500.0;0.0;1;5.012296930979851;64.73222792401458;90;False;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
16401;2;1.0;1.0;0.0;0.0;13.0;1;3.733804517566366;55.0;30;False;True;False;False;True;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
16644;5;1.0;1.0;50.0;500.0;20.0;2;2.105809613687102;80.0;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
17409;2;1.0;1.0;18.0;0.0;26.0;1;2.982036376054309;25.0;3;True;True;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
20858;4;1.0;2.0;49.0;500.0;24.0;2;3.807207073757503;105.81858256563278;3;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
21869;4;1.0;1.0;40.0;500.0;18.0;2;2.0612921417330554;75.53079396442881;60;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
22415;4;1.0;2.0;50.0;300.0;25.0;2;1.8682545996481508;100.08986547115836;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
22677;5;1.0;1.0;40.0;150.0;35.0;4;3.5117873058188973;70.0;3;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
