DodgeGrand CaravanIV,7В РјРµСЃС‚;11461;2001;auto;03.мар;Benz;280025
BMW5 СЃРµСЂРёСЏF07 (GT);42543;2011;auto;3.0;Benz;169000
RenaultLoganII В· Р РµСЃС‚Р°Р№Р»РёРЅРі;20890;2019;mech;01.июн;Benz;43000
Land RoverRange RoverIV;115911;2012;auto;04.апр;Diz;150000
OpelSintra,7В РјРµСЃС‚;6624;1998;mech;02.фев;Benz;415000
Mercedes-BenzC-РљР»Р°СЃСЃW205, S205, C205, A205;64961;2015;auto;2.0;Benz;132000
HondaAccordVIII;22925;2008;auto;02.апр;Benz;183787
KiaRioIV X-Line;28500;2018;auto;01.июн;Benz;107000
PeugeotBipper;9900;2012;mech;01.апр;Benz;280600
BMW7 СЃРµСЂРёСЏG11;141386;2018;auto;3.0;Diz;100000
PeugeotTraveller,7В РјРµСЃС‚;52988;2017;mech;01.июн;Diz;84000
AudiA4B8;22163;2008;mech;2.0;Diz;305278
VolvoV50I В· Р РµСЃС‚Р°Р№Р»РёРЅРі;19361;2007;mech;2.0;Diz;280000
Mercedes-BenzE-РљР»Р°СЃСЃW210, S210;13374;2001;mech;02.июл;Diz;390000
BMW5 СЃРµСЂРёСЏE60, E61;20377;2009;auto;3.0;Benz;210000
HondaAccordV;4840;1997;mech;01.авг;Benz;356012
ZotyeCoupa;34901;2019;mech;01.май;Benz;33800
VolkswagenTouaregII;49931;2013;auto;03.июн;Benz;146000
BMWX6F16;99353;2016;auto;3.0;Diz;159000
AcuraMDXI,7В РјРµСЃС‚;13884;2001;auto;03.май;Benz;241401
AudiA5II;73241;2017;auto;2.0;Diz;141000
OpelZafiraC В· Р РµСЃС‚Р°Р№Р»РёРЅРі,7В РјРµСЃС‚;32990;2016;mech;01.июл;Diz;173000
ToyotaSiennaIII (XL30);63685;2017;auto;03.май;Benz;65000
Peugeot3008II;47766;2017;auto;01.июн;Diz;131500
VolkswagenGolfVII;40757;2016;auto;01.авг;Benz;64000
HondaCR-VV;61137;2019;auto;01.май;Benz;6000
OpelInsigniaI В· Р РµСЃС‚Р°Р№Р»РёРЅРі;33115;2016;auto;01.июн;Diz;185000
BMWX5E70,5В РјРµСЃС‚;40251;2008;auto;03.май;Diz;191000
FordFocusII;8916;2005;mech;01.июн;Benz;326000
ChevroletMalibuIX;34009;2017;auto;01.май;Benz;65800
HyundaiSanta FeSM,5В РјРµСЃС‚;13629;2003;mech;2.0;Diz;298000
VolkswagenTiguanII;67509;2017;auto;2.0;Benz;76000
SkodaRapidI;22673;2016;auto;01.апр;Diz;154450
SkodaRapidI В· Р РµСЃС‚Р°Р№Р»РёРЅРі;28787;2020;mech;01.июн;Benz;80000
NissanX-TrailI (T30),5В РјРµСЃС‚;14521;2005;mech;02.фев;Diz;218000
OpelAstraJ В· Р РµСЃС‚Р°Р№Р»РёРЅРі;22418;2012;auto;01.апр;Benz;118423
ChevroletCaptivaI В· 2-Р№ СЂРµСЃС‚Р°Р№Р»РёРЅРі,5В РјРµСЃС‚;30315;2014;auto;02.апр;Benz;95000
RenaultLagunaI;4586;1998;mech;01.авг;Benz;235000
Mercedes-BenzS-РљР»Р°СЃСЃW221;20380;2007;auto;03.май;Benz;300000
FordMondeoV;33118;2017;mech;01.май;Diz;164000
RenaultLagunaII;9681;2001;mech;01.сен;Diz;306000
SkodaFabia5J;9298;2008;mech;01.фев;Benz;168000
BMW5 СЃРµСЂРёСЏF10, F11;43053;2011;auto;2.0;Diz;315000
CitroenC4 Grand PicassoII,7В РјРµСЃС‚;38187;2016;mech;01.июн;Diz;159000
NissanAlmeraII (N16);5987;2001;mech;01.май;Benz;225009
ChevroletTrackerII;8534;2000;auto;2.0;Benz;220000
NissanPrimeraP10;1783;1994;mech;2.0;Benz;286000
HondaAccordV;4840;1998;mech;2.0;Benz;210227
SmartFortwoII;22925;2015;auto;1.0;Benz;46400
Peugeot207I В· Р РµСЃС‚Р°Р№Р»РёРЅРі;14011;2009;mech;01.апр;Diz;287000
BMW5 СЃРµСЂРёСЏE34;8916;1992;mech;02.май;Benz;312212
VolvoS40I;5095;1998;mech;2.0;Benz;235689
Mercedes-BenzS-РљР»Р°СЃСЃW221;36531;2007;auto;3.0;Diz;223400
BMWX3G01;78718;2018;auto;2.0;Benz;44000
CitroenEvasionI В· Р РµСЃС‚Р°Р№Р»РёРЅРі,7В РјРµСЃС‚;7388;1998;mech;2.0;Benz;416012
HondaCivicVII;7515;2002;mech;01.апр;Benz;270000
FordRangerVII;44581;2013;mech;02.фев;Diz;222000
Land RoverRange Rover EvoqueI;54771;2014;auto;2.0;Benz;105000
VolkswagenPassatB8;41346;2017;mech;2.0;Diz;200000
OpelInsigniaI В· Р РµСЃС‚Р°Р№Р»РёРЅРі;37576;2016;auto;01.июн;Diz;160000
VolvoXC60I В· Р РµСЃС‚Р°Р№Р»РёРЅРі;56809;2017;auto;2.0;Diz;117000
HyundaiSonataNF;11846;2005;mech;02.апр;Benz;287000
MitsubishiColtVI В· Р РµСЃС‚Р°Р№Р»РёРЅРі;11846;2010;mech;01.мар;Benz;127000
DodgeCaravanIV,7В РјРµСЃС‚;7388;2002;auto;02.апр;Benz;240773
SkodaRapidI В· Р РµСЃС‚Р°Р№Р»РёРЅРі;32353;2019;auto;01.апр;Benz;14900
VolkswagenPassatB5;12738;2003;mech;01.сен;Diz;338682
AudiA6C5;15285;2001;auto;02.май;Diz;440000
OpelVectraB В· Р РµСЃС‚Р°Р№Р»РёРЅРі;4840;1999;mech;2.0;Benz;300000
LexusISII;23819;2006;mech;02.фев;Diz;286000
NissanAlmeraI (N15);2545;1997;mech;01.июн;Benz;250000
NissanQashqaiI В· Р РµСЃС‚Р°Р№Р»РёРЅРі;23819;2011;auto;2.0;Benz;152000
CadillacEscaladeIV,7В РјРµСЃС‚;114635;2015;auto;06.фев;Benz;161500
ToyotaCamryXV40 В· Р РµСЃС‚Р°Р№Р»РёРЅРі;21909;2010;auto;02.май;Benz;418428
VolkswagenTouaregI;21144;2004;auto;02.май;Diz;200000
MINICoupe;34391;2014;auto;01.июн;Benz;40000
CitroenC4 Grand PicassoI,7В РјРµСЃС‚;22291;2011;auto;01.июн;Diz;172000
SubaruForesterIII В· Р РµСЃС‚Р°Р№Р»РёРЅРі;26494;2011;auto;2.0;Benz;101200
AudiA6C7;36175;2013;auto;2.0;Benz;250000
LexusISII;30188;2010;auto;02.май;Benz;125529
ToyotaCamryXV40 В· Р РµСЃС‚Р°Р№Р»РёРЅРі;25472;2009;auto;03.май;Benz;210000
SkodaOctaviaII В· Р РµСЃС‚Р°Р№Р»РёРЅРі;17068;2009;mech;01.июн;Benz;215000
BMWX5E70,7В РјРµСЃС‚;55281;2011;auto;4.0;Diz;250000
RenaultKangooII;15667;2009;mech;01.май;Diz;283000
OpelAstraH;12169;2004;mech;01.июл;Diz;339500
ToyotaPriusIII (XW30);22291;2009;auto;01.авг;Benz;268760
OpelAstraG;8152;2001;mech;01.июл;Diz;340000
Mercedes-BenzE-РљР»Р°СЃСЃW213, S213, X213, C238, A238;101645;2017;auto;2.0;Benz;36000
ToyotaLand CruiserJ200 В· Р РµСЃС‚Р°Р№Р»РёРЅРі,5В РјРµСЃС‚;82768;2013;auto;04.июн;Benz;77132
Mercedes-BenzVianoW639;22925;2004;auto;02.фев;Diz;347000
SkodaOctaviaI В· Р РµСЃС‚Р°Р№Р»РёРЅРі;11591;2001;mech;01.сен;Diz;299000
AudiA6C6;30570;2007;auto;3.0;Diz;378000
RenaultSymbolII;11464;2010;mech;01.апр;Benz;221000
ToyotaVenzaI В· Р РµСЃС‚Р°Р№Р»РёРЅРі;57319;2012;auto;03.май;Benz;12800
VolkswagenJettaV;15282;2009;mech;01.сен;Diz;197000
LexusISII;52224;2008;auto;5.0;Benz;165000
Peugeot406I В· Р РµСЃС‚Р°Р№Р»РёРЅРі;9044;2001;mech;2.0;Diz;289000
AudiA6C6;21399;2007;auto;2.0;Diz;276900
NissanMicraII (K11);3439;1994;mech;1.0;Benz;256789
Mercedes-BenzE-РљР»Р°СЃСЃW210, S210;5095;1997;mech;2.0;Benz;490000
NissanQashqaiII;41906;2017;mech;01.май;Diz;152000
