year;VVP;SCN;GPN;ODN
1996;2,01E+13;20,5;62,4;301
1997;2,34E+13;19,1;66,1;306
1998;2,63E+13;12,7;66,4;303
1999;4,82E+13;17,7;69,1;305
2000;7,31E+13;28,3;70,8;324
2001;8,94E+13;24,4;70,7;348
2002;1,08E+14;25;69,6;380
2003;1,32E+14;28,9;70,2;421
2004;1,70E+14;38,3;71,5;459
2005;2,16E+14;54,4;71,6;470
2006;2,69E+14;65,4;72;481
2007;3,32E+14;72,7;71,6;491
2008;4,13E+14;97,7;72,1;488,6
2009;3,88E+14;61,9;72;494,3
2010;4,63E+14;79,6;71,2;505,2
2011;6,03E+14;111;70,7;511,4
2012;6,82E+14;111,4;71,6;518
2013;7,31E+14;108,8;71,6;523,3
2014;7,92E+14;98,9;72,4;526,8
2015;8,32E+14;52,4;74,3;534,1
2016;8,60E+14;44;79;547,5
2017;9,21E+14;54,53;81;546,8
2018;1,04E+15;72,93;82,2;555,8
2019;1,10E+15;63,33;82,8;560,2
